                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6662,                 2.1684,                 1.3741,                0.83823,                0.56459,                 0.7572,                0.44378,                 1.3181,                 2.0556,                 1.1765,             0.00046933,             0.00046933,             0.00046933
                      2,                  1.226,                 0.9874,                 1.1464,                0.76297,                0.80963,                0.84647,                0.51224,                 1.2327,                 1.1502,                 1.1504,             0.00093006,             0.00093006,             0.00093006
                      3,                 1.1391,                 0.8615,                 1.1097,                0.75525,                 0.7975,                0.83098,                0.48704,                 1.2614,                0.93743,                 1.1902,              0.0013751,              0.0013751,              0.0013751
                      4,                  1.085,                 0.7803,                 1.0897,                0.83426,                0.86551,                0.90322,                 0.5454,                 1.2031,                 0.8675,                 1.1422,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.0551,                0.73214,                 1.0747,                0.87544,                 0.8939,                0.92742,                0.58294,                  1.132,                0.71825,                 1.1094,              0.0013347,              0.0013347,              0.0013347
                      6,                 1.0338,                0.71643,                 1.0687,                0.87412,                0.87856,                0.90765,                0.56081,                 1.2092,                0.74124,                 1.1372,              0.0013111,              0.0013111,              0.0013111
                      7,                 1.0309,                0.67912,                 1.0633,                0.86731,                0.86224,                0.93084,                0.60506,                 1.1098,                0.70609,                 1.0871,              0.0012875,              0.0012875,              0.0012875
                      8,                0.99763,                0.65629,                 1.0488,                 0.8515,                0.88848,                0.93367,                0.58406,                 1.1649,                0.67603,                 1.1308,               0.001264,               0.001264,               0.001264
                      9,                0.99578,                0.64169,                 1.0438,                0.90484,                  0.932,                0.95723,                0.62541,                 1.0714,                0.62951,                 1.0858,              0.0012404,              0.0012404,              0.0012404
                     10,                0.98749,                0.62832,                 1.0453,                 0.8721,                0.92968,                0.94132,                0.61175,                 1.0905,                0.61886,                  1.085,              0.0012168,              0.0012168,              0.0012168
                     11,                0.97046,                0.61459,                 1.0401,                 0.8916,                0.91347,                0.94885,                0.61774,                 1.1019,                0.60828,                  1.098,              0.0011932,              0.0011932,              0.0011932
                     12,                0.96493,                0.59946,                 1.0337,                0.90167,                  0.939,                0.95965,                0.62377,                 1.0798,                0.60649,                 1.0864,              0.0011696,              0.0011696,              0.0011696
                     13,                0.94603,                0.58903,                 1.0318,                0.89698,                0.93262,                0.94595,                0.62598,                 1.0798,                0.59359,                 1.0795,              0.0011461,              0.0011461,              0.0011461
                     14,                0.94277,                0.57589,                 1.0284,                0.89184,                0.92221,                0.94531,                0.61424,                 1.1034,                0.59088,                 1.1047,              0.0011225,              0.0011225,              0.0011225
                     15,                0.93024,                0.56755,                 1.0201,                0.87458,                0.92894,                0.94649,                0.63494,                 1.0598,                0.57568,                 1.0684,              0.0010989,              0.0010989,              0.0010989
                     16,                0.93875,                0.56796,                 1.0312,                0.88274,                0.92565,                0.94478,                0.62226,                 1.0723,                0.56954,                 1.0821,              0.0010753,              0.0010753,              0.0010753
                     17,                0.92027,                0.55424,                 1.0193,                0.87567,                0.91219,                0.94679,                0.62229,                 1.0737,                0.59034,                  1.079,              0.0010517,              0.0010517,              0.0010517
                     18,                0.90584,                0.54279,                 1.0166,                0.88715,                0.92664,                0.94533,                  0.625,                 1.0775,                0.57585,                 1.1022,              0.0010282,              0.0010282,              0.0010282
                     19,                0.90577,                0.54189,                 1.0175,                0.88654,                0.92728,                0.94038,                0.63026,                 1.0616,                0.57807,                 1.0745,              0.0010046,              0.0010046,              0.0010046
                     20,                0.90581,                0.53442,                 1.0146,                 0.9001,                0.93179,                0.96001,                0.63812,                 1.0713,                 0.5438,                 1.0786,             0.00098101,             0.00098101,             0.00098101
                     21,                0.91486,                0.53382,                 1.0192,                0.89302,                0.92208,                0.94964,                0.61934,                 1.0997,                0.56164,                   1.09,             0.00095743,             0.00095743,             0.00095743
                     22,                0.89991,                0.52567,                  1.013,                0.89679,                0.92798,                 0.9507,                 0.6283,                 1.0897,                0.56417,                 1.0859,             0.00093385,             0.00093385,             0.00093385
                     23,                0.91674,                0.52929,                 1.0176,                 0.8812,                0.94791,                0.95666,                0.62518,                 1.1036,                0.56373,                  1.094,             0.00091027,             0.00091027,             0.00091027
                     24,                0.90272,                0.51666,                  1.006,                0.89954,                0.94118,                0.95516,                0.63177,                 1.0854,                0.54345,                 1.0862,             0.00088669,             0.00088669,             0.00088669
                     25,                0.88781,                0.51077,                 1.0023,                0.91376,                0.94346,                0.96386,                0.63992,                 1.0725,                0.53081,                  1.085,             0.00086312,             0.00086312,             0.00086312
                     26,                0.89418,                0.51308,                 1.0108,                0.90111,                 0.9501,                0.95943,                0.63467,                 1.0628,                0.52959,                 1.0866,             0.00083954,             0.00083954,             0.00083954
                     27,                0.89388,                0.50859,                 1.0061,                0.90173,                0.94245,                0.95908,                0.63588,                 1.0997,                0.53745,                 1.0944,             0.00081596,             0.00081596,             0.00081596
                     28,                0.88529,                0.50496,                0.99964,                0.90784,                0.92374,                0.95338,                0.62711,                 1.0885,                0.52549,                 1.1027,             0.00079238,             0.00079238,             0.00079238
                     29,                0.86991,                0.49422,                0.99396,                0.90528,                0.94359,                0.95932,                0.64567,                 1.0555,                0.52294,                 1.0686,              0.0007688,              0.0007688,              0.0007688
                     30,                 0.8688,                 0.4973,                 1.0004,                0.90139,                0.93306,                0.95332,                0.63795,                 1.0777,                0.53612,                 1.0837,             0.00074522,             0.00074522,             0.00074522
                     31,                0.85552,                 0.4893,                 0.9926,                0.90409,                0.93991,                0.95775,                0.62992,                 1.0868,                0.53011,                 1.0971,             0.00072164,             0.00072164,             0.00072164
                     32,                0.85759,                0.48745,                0.99464,                 0.8927,                0.93876,                0.95393,                0.63717,                 1.0626,                0.53358,                 1.0802,             0.00069807,             0.00069807,             0.00069807
                     33,                0.85888,                0.48761,                0.99299,                0.91591,                0.93574,                0.96051,                0.62989,                 1.0961,                0.52602,                 1.1058,             0.00067449,             0.00067449,             0.00067449
                     34,                0.86113,                0.48282,                0.98867,                0.91122,                0.93206,                0.95812,                0.63593,                 1.0745,                0.51608,                 1.0869,             0.00065091,             0.00065091,             0.00065091
                     35,                 0.8649,                 0.4813,                0.99431,                0.90567,                0.92975,                 0.9617,                0.63174,                 1.0931,                0.52823,                 1.0975,             0.00062733,             0.00062733,             0.00062733
                     36,                0.84258,                0.47048,                0.98853,                0.89721,                0.94346,                 0.9595,                0.63631,                 1.0819,                0.51498,                 1.0956,             0.00060375,             0.00060375,             0.00060375
                     37,                0.85997,                 0.4775,                0.99487,                  0.907,                0.94742,                0.95946,                0.63626,                 1.0935,                0.52092,                 1.1021,             0.00058017,             0.00058017,             0.00058017
                     38,                0.84878,                0.47281,                 0.9902,                0.88925,                0.94286,                0.95313,                0.64114,                 1.0451,                0.52292,                 1.0762,              0.0005566,              0.0005566,              0.0005566
